team,win_pct,final_pct,semi_pct,qf_pct,r16_pct
Spain,66.22,100.0,100.0,100.0,100.0
Argentina,33.78,100.0,100.0,100.0,100.0
Germany,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,100.0
Algeria,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,100.0,100.0
Egypt,0.0,0.0,0.0,0.0,100.0
Australia,0.0,0.0,0.0,0.0,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0
DR Congo,0.0,0.0,0.0,0.0,0.0
England,0.0,0.0,100.0,100.0,100.0
Ecuador,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,100.0
Norway,0.0,0.0,0.0,100.0,100.0
Ivory Coast,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,0.0,0.0,0.0,100.0
Paraguay,0.0,0.0,0.0,0.0,100.0
Senegal,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,0.0,0.0,100.0,100.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
USA,0.0,0.0,0.0,0.0,100.0
Austria,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0
Portugal,0.0,0.0,0.0,0.0,100.0
Morocco,0.0,0.0,0.0,100.0,100.0
Netherlands,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,100.0
South Africa,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,100.0,100.0,100.0
Ghana,0.0,0.0,0.0,0.0,0.0
